MouseID,S6_N,P38_N,RAPTOR_N,Ubiquitin_N,Tau_N,Genotype,Treatment,Behavior,class
309_1,0.354604528,0.335335828,0.339570613,1.044979186,0.125190375,Control,Memantine,C/S,c-CS-m
309_2,0.354548277,0.324834659,0.321959168,1.009883059,0.13427507,Control,Memantine,C/S,c-CS-m
309_3,0.386086771,0.324851731,0.3130859,0.996847617,0.132560376,Control,Memantine,C/S,c-CS-m
309_4,0.290679519,0.330120809,0.328491923,0.990224696,0.123209558,Control,Memantine,C/S,c-CS-m
309_5,0.309345015,0.313414798,0.312206258,0.997774997,0.136837714,Control,Memantine,C/S,c-CS-m
309_6,0.332367081,0.296276381,0.303132141,0.920178167,0.130514706,Control,Memantine,C/S,c-CS-m
309_7,0.266857376,0.333909491,0.329352608,1.028769922,0.115978749,Control,Memantine,C/S,c-CS-m
309_8,0.288607595,0.322788698,0.298525799,0.943544304,0.119578059,Control,Memantine,C/S,c-CS-m
309_9,0.294112569,0.294518561,0.279292343,0.94690953,0.123964088,Control,Memantine,C/S,c-CS-m
309_10,0.24977518,0.394349142,0.336024218,0.970323741,0.117580935,Control,Memantine,C/S,c-CS-m
309_11,0.275416952,0.352118386,0.323535374,0.940370117,0.125999543,Control,Memantine,C/S,c-CS-m
309_12,0.287319612,0.33451119,0.319199058,0.911521173,0.127986752,Control,Memantine,C/S,c-CS-m
309_13,0.244889503,0.37366548,0.332426209,0.997237569,0.117403315,Control,Memantine,C/S,c-CS-m
309_14,0.254957109,0.370684177,0.321965685,0.980874701,0.117283083,Control,Memantine,C/S,c-CS-m
309_15,0.269770774,0.358595194,0.336414048,0.942406877,0.119054441,Control,Memantine,C/S,c-CS-m
311_1,0.294117647,0.373767113,0.407478286,1.177892696,0.182546865,Control,Memantine,C/S,c-CS-m
311_2,0.380730897,0.361410788,0.36473029,1.115681063,0.184186047,Control,Memantine,C/S,c-CS-m
311_3,0.400961278,0.348731384,0.35452289,1.044476036,0.185824533,Control,Memantine,C/S,c-CS-m
311_4,0.283037639,0.404513241,0.4000373,1.09053225,0.181976455,Control,Memantine,C/S,c-CS-m
311_5,0.353029922,0.349918963,0.337439222,1.020870003,0.178610343,Control,Memantine,C/S,c-CS-m
311_6,0.362339515,0.37086669,0.342151062,1.047243434,0.195435093,Control,Memantine,C/S,c-CS-m
311_7,0.243437017,0.435491383,0.433628319,1.178138098,0.167218178,Control,Memantine,C/S,c-CS-m
311_8,0.323068246,0.4260181,0.413800905,1.118668923,0.159052453,Control,Memantine,C/S,c-CS-m
311_9,0.312030075,0.383445946,0.349873311,0.979544449,0.153803627,Control,Memantine,C/S,c-CS-m
311_10,0.251571468,0.478272752,0.441104127,1.154413774,0.164252528,Control,Memantine,C/S,c-CS-m
311_11,0.29121179,0.559595321,0.5042681,1.068367904,0.155977074,Control,Memantine,C/S,c-CS-m
311_12,0.313907658,0.458942333,0.410045177,1.027167793,0.161317568,Control,Memantine,C/S,c-CS-m
311_13,0.170105528,0.456854345,0.485312118,1.103323358,0.142699638,Control,Memantine,C/S,c-CS-m
311_14,0.232651103,0.509797724,0.455436157,1.030060761,0.143428206,Control,Memantine,C/S,c-CS-m
311_15,0.239233666,0.488479263,0.428571429,1.009988538,0.136400851,Control,Memantine,C/S,c-CS-m
320_1,0.676686905,0.383589936,0.368757041,1.180117479,0.353719335,Control,Memantine,C/S,c-CS-m
320_2,0.637341343,0.394511964,0.388340296,1.066127313,0.34308691,Control,Memantine,C/S,c-CS-m
320_3,0.590310006,0.402338961,0.405639913,1.063393354,0.335483572,Control,Memantine,C/S,c-CS-m
320_4,0.598989964,0.392852772,0.354546567,1.291056703,0.292974493,Control,Memantine,C/S,c-CS-m
320_5,0.576849975,0.40919367,0.387967847,1.157121135,0.301951343,Control,Memantine,C/S,c-CS-m
320_6,0.529756455,0.417457542,0.406218781,1.186595862,0.298297015,Control,Memantine,C/S,c-CS-m
320_7,0.577617658,0.408777711,0.357549431,1.26286027,0.263681138,Control,Memantine,C/S,c-CS-m
320_8,0.520851509,0.423943227,0.387226165,1.269499215,0.257895655,Control,Memantine,C/S,c-CS-m
320_9,0.485214708,0.444358218,0.412851156,1.214451016,0.257992629,Control,Memantine,C/S,c-CS-m
320_10,0.551077788,0.461303851,0.39306138,1.380974695,0.241682287,Control,Memantine,C/S,c-CS-m
320_11,0.52475133,0.457428733,0.407211629,1.48912792,0.245662734,Control,Memantine,C/S,c-CS-m
320_12,0.442951542,0.475146475,0.434889435,1.375330396,0.235792952,Control,Memantine,C/S,c-CS-m
320_13,0.529549848,0.434366454,0.383090246,1.352112676,0.228666114,Control,Memantine,C/S,c-CS-m
320_14,0.482980434,0.455730954,0.412948982,1.426159207,0.217770035,Control,Memantine,C/S,c-CS-m
320_15,0.442745098,0.472924188,0.436371841,1.357385621,0.210588235,Control,Memantine,C/S,c-CS-m
321_1,0.534110017,0.391771805,0.336478332,1.244535191,0.297862119,Control,Memantine,C/S,c-CS-m
321_2,0.521085595,0.391243243,0.344864865,1.251297346,0.305099911,Control,Memantine,C/S,c-CS-m
321_3,0.519772388,0.404069767,0.366602067,1.168640074,0.288309001,Control,Memantine,C/S,c-CS-m
321_4,0.50377873,0.410353007,0.345332775,1.322399688,0.272536034,Control,Memantine,C/S,c-CS-m
321_5,0.498810711,0.424276169,0.35857461,1.228420164,0.264789381,Control,Memantine,C/S,c-CS-m
321_6,0.514411075,0.424031642,0.370840153,1.227929495,0.274982979,Control,Memantine,C/S,c-CS-m
321_7,0.472585639,0.385747742,0.340414854,1.347248577,0.226905023,Control,Memantine,C/S,c-CS-m
321_8,0.482942431,0.437801516,0.348897312,1.313529754,0.23929056,Control,Memantine,C/S,c-CS-m
321_9,0.507668564,0.444032367,0.383513149,1.30529565,0.237387865,Control,Memantine,C/S,c-CS-m
321_10,0.548395616,0.39442947,0.372192273,1.413706589,0.204014261,Control,Memantine,C/S,c-CS-m
321_11,0.549644456,0.398565344,0.352387357,1.43705557,0.230576771,Control,Memantine,C/S,c-CS-m
321_12,0.546165055,0.424895536,0.354519463,1.369850311,0.195522586,Control,Memantine,C/S,c-CS-m
321_13,0.527116402,0.423759791,0.323759791,1.512070106,0.201554233,Control,Memantine,C/S,c-CS-m
321_14,0.529676693,0.389050516,0.353874636,1.473218594,0.196879524,Control,Memantine,C/S,c-CS-m
321_15,0.509053036,0.395045632,0.349674055,1.402820061,0.190514341,Control,Memantine,C/S,c-CS-m
322_1,0.45035929,0.337405123,0.277514231,1.273427189,0.215207508,Control,Memantine,C/S,c-CS-m
322_2,0.444249726,0.355511172,0.297091499,1.215991238,0.220518437,Control,Memantine,C/S,c-CS-m
322_3,0.435677159,0.36028953,0.305129165,1.274978342,0.205457696,Control,Memantine,C/S,c-CS-m
322_4,0.413701775,0.429429429,0.311363996,1.290103293,0.196080162,Control,Memantine,C/S,c-CS-m
322_5,0.410228608,0.389867841,0.317809943,1.339025933,0.208276859,Control,Memantine,C/S,c-CS-m
